environment,episodes,with_duration,no_duration,total_minutes,total_hours,share_pct
factory_001,1655,1655,0,4952.20,82.5366,7.574
loom_weaving_floor_bengaluru_7647,550,550,0,1634.88,27.2480,2.501
granite_stone_manufacturing_facility_0004,443,443,0,1320.00,22.0000,2.019
granite_stone_fabrication_workshop_0003,440,440,0,1311.61,21.8602,2.006
granite_stone_processing_yard_0001,440,440,0,1306.39,21.7732,1.998
granite_machine_operation_station_0002,444,444,0,1306.09,21.7682,1.998
loom_weaving_floor_bengaluru_4016,416,416,0,1237.93,20.6322,1.893
semiconductor_cleanroom_bengaluru_7004,329,329,0,982.24,16.3706,1.502
diamond_workshop_ahemdabad_2929,264,264,0,787.06,13.1176,1.204
diamond_workshop_ahemdabad_7537,250,250,0,742.74,12.3790,1.136
diamond_workshop_ahemdabad_9253,244,244,0,724.87,12.0812,1.109
diamond_workshop_ahemdabad_9757,192,192,0,573.92,9.5654,0.878
paper_mill_floor_bengaluru_7437,180,180,0,535.76,8.9294,0.819
paper_mill_floor_bengaluru_2924,169,169,0,502.31,8.3719,0.768
paper_mill_floor_bengaluru_1757,167,167,0,494.47,8.2411,0.756
semiconductor_cleanroom_bengaluru_8142,165,165,0,493.52,8.2253,0.755
semiconductor_cleanroom_bengaluru_5293,164,164,0,490.52,8.1753,0.750
semiconductor_cleanroom_bengaluru_4888,163,163,0,488.72,8.1453,0.747
semiconductor_cleanroom_bengaluru_9759,163,163,0,487.69,8.1281,0.746
semiconductor_cleanroom_bengaluru_8379,163,163,0,487.35,8.1225,0.745
semiconductor_cleanroom_bengaluru_7275,162,162,0,484.90,8.0817,0.742
semiconductor_cleanroom_bengaluru_9780,161,161,0,481.12,8.0186,0.736
paper_mill_floor_bengaluru_8435,161,161,0,481.06,8.0177,0.736
paper_mill_floor_bengaluru_9696,161,161,0,479.71,7.9952,0.734
semiconductor_cleanroom_bengaluru_8455,155,155,0,462.20,7.7033,0.707
semiconductor_cleanroom_bengaluru_4860,154,154,0,459.05,7.6508,0.702
semiconductor_cleanroom_bengaluru_7294,151,151,0,450.88,7.5147,0.690
furniture_workshop_ahemdabad_9975,151,151,0,450.58,7.5097,0.689
semiconductor_cleanroom_bengaluru_5401,151,151,0,448.17,7.4695,0.685
semiconductor_cleanroom_bengaluru_2021,149,149,0,442.52,7.3753,0.677
semiconductor_cleanroom_bengaluru_9942,147,147,0,438.88,7.3147,0.671
semiconductor_cleanroom_bengaluru_4867,147,147,0,438.35,7.3058,0.670
semiconductor_cleanroom_bengaluru_1369,146,146,0,438.00,7.3000,0.670
semiconductor_cleanroom_bengaluru_4043,146,146,0,436.88,7.2814,0.668
semiconductor_cleanroom_bengaluru_2269,146,146,0,435.79,7.2631,0.667
semiconductor_cleanroom_bengaluru_7648,145,145,0,434.21,7.2369,0.664
semiconductor_cleanroom_bengaluru_9855,145,145,0,432.05,7.2008,0.661
semiconductor_cleanroom_bengaluru_9062,144,144,0,431.68,7.1947,0.660
semiconductor_cleanroom_bengaluru_5775,144,144,0,429.65,7.1608,0.657
semiconductor_cleanroom_bengaluru_5891,143,143,0,428.12,7.1353,0.655
