folder,episodes,with_duration,no_duration,total_minutes,total_hours,share_pct
XPHIROBOTICS001,5694,5658,36,16928.45,282.1408,25.892
XPHIROBOTICS009,3356,3355,1,10020.12,167.0020,15.326
XPHIROBOTICS008,2333,2332,1,6975.74,116.2623,10.669
XPHIROBOTICS006,2316,2316,0,6882.44,114.7074,10.527
XPHIROBOTICS002,1783,1783,0,5309.87,88.4978,8.121
XPHIROBOTICS005,1767,1767,0,5244.10,87.4016,8.021
XPHIROBOTICS007,1083,1082,1,3215.17,53.5861,4.918
XPHIROBOTICS004,1030,1029,1,3059.78,50.9964,4.680
XPHIROBOTICS003,967,967,0,2878.94,47.9823,4.403
XPHIROBOTICS011,830,830,0,2468.81,41.1469,3.776
XPHIROBOTICS010,805,805,0,2398.22,39.9703,3.668
