task,episodes,with_duration,no_duration,total_minutes,total_hours,share_pct
(none),1695,1655,40,4952.20,82.5366,7.574
structural_metal_forming_welding,800,800,0,2400.00,40.0000,3.671
metal_joining_grinding_finishing,800,800,0,2396.90,39.9483,3.666
metal_fabrication_cutting_grinding_welding,801,801,0,2396.37,39.9395,3.665
sheet_metal_fabrication_welding,801,801,0,2392.65,39.8775,3.660
metalwork_cutting_grinding_welding,801,801,0,2390.33,39.8389,3.656
semiconductor_wafer_processing_v1,734,734,0,2192.07,36.5345,3.353
semiconductor_fab_v1,733,733,0,2191.53,36.5255,3.352
cleanroom_die_assembly_v1,730,730,0,2190.00,36.5000,3.350
microchip_fabrication_v1,732,732,0,2188.88,36.4814,3.348
wafer_fab_operations_v1,733,733,0,2187.46,36.4576,3.346
chip_manufacturing_v1,732,732,0,2187.15,36.4525,3.345
wafer_handling_inspection_v1,733,733,0,2185.81,36.4302,3.343
ic_fabrication_v1,732,732,0,2185.10,36.4184,3.342
semiconductor_fabrication_v1,732,732,0,2179.28,36.3214,3.333
cleanroom_semiconductor_assembly_v1,731,731,0,2175.60,36.2600,3.328
textile_weaving_v1,464,464,0,1385.27,23.0878,2.119
loom_warping_weaving_v1,465,465,0,1383.94,23.0656,2.117
fabric_weaving_operations_v1,465,465,0,1374.54,22.9090,2.102
powerloom_weaving_v1,462,462,0,1370.50,22.8416,2.096
loom_weaving_v1,460,460,0,1368.20,22.8034,2.093
diamond_processing_v1,359,359,0,1070.14,17.8356,1.637
diamond_cutting_polishing_v1,358,358,0,1067.44,17.7906,1.633
gem_cleaving_bruting_v1,356,356,0,1064.83,17.7472,1.629
gemstone_processing_v1,358,358,0,1064.56,17.7426,1.628
masonry_stone_working_v1,356,356,0,1061.60,17.6934,1.624
stone_cutting_shaping_v1,356,356,0,1052.23,17.5372,1.609
granite_slab_finishing_v1,350,350,0,1050.00,17.5000,1.606
diamond_finishing_grading_v1,352,352,0,1042.91,17.3818,1.595
granite_stone_v1,354,354,0,1042.52,17.3754,1.595
granite_stone_processing_v1,351,351,0,1037.74,17.2956,1.587
pulp_sheet_forming_v1,217,217,0,646.27,10.7711,0.988
paper_converting_packing_v1,218,218,0,645.73,10.7622,0.988
paper_roll_handling_v1,215,215,0,642.56,10.7094,0.983
paper_processing_v1,217,217,0,641.81,10.6968,0.982
paper_mill_processing_v1,215,215,0,638.80,10.6466,0.977
furniture_woodworking_v1,207,207,0,619.75,10.3292,0.948
furniture_assembly_finishing_v1,208,208,0,612.93,10.2155,0.937
wood_furniture_production_v1,204,204,0,610.95,10.1825,0.934
carpentry_furniture_making_v1,207,207,0,609.23,10.1539,0.932
furniture_manufacturing_v1,203,203,0,606.92,10.1153,0.928
electronic_device_assembly_v1,196,196,0,581.85,9.6975,0.890
pcb_assembly_soldering_v1,194,194,0,580.95,9.6825,0.889
electronics_wiring_assembly_v1,195,195,0,579.85,9.6642,0.887
electronic_component_assembly_v1,192,192,0,573.11,9.5519,0.877
electronics_assembly_v1,190,190,0,563.17,9.3862,0.861
